Year;Psych;Neuro In Psych;Neuro(No Drugs) In Psych
2022;7600;3433;3183
2021;70704;30190;28170
2020;124963;47791;44220
2019;160868;61443;56746
2018;166281;63875;59033
2017;166058;64665;59858
2016;167922;63791;59255
2015;178526;66608;61892
2014;182418;69101;64139
2013;186999;73645;68108
2012;183039;73488;68041
2011;175638;71828;66561
2010;167495;68905;63589
2009;156921;65113;59868
2008;149620;61539;55970
2007;140538;57467;52028
2006;131074;53822;48806
2005;120080;49519;44916
2004;109389;44465;40269
2003;100999;40532;36367
2002;92376;36747;33138
2001;88482;35553;32189
2000;82804;34265;30829
1999;77117;31237;28002
1998;73332;29666;26720
1997;70539;27905;25157
1996;66081;26803;24151
1995;63294;24684;22823
1994;62418;24354;22855
1993;60723;23454;22085
1992;58664;22437;21183
1991;56983;21890;20683
1990;56218;21237;20107
1989;53221;19717;18627
1988;50563;18519;17447
1987;46597;17484;16597
1986;45918;18140;17137
1985;44261;17548;16629
1984;42083;16687;15747
1983;40504;15913;15025
1982;39078;15065;14169
1981;36952;13931;13075
1980;37006;13589;12866
1979;37755;13869;13066
1978;35316;12996;12251
1977;32703;11948;11344
1976;31590;12058;11379
1975;31499;12016;11388
1974;31051;12721;12046
1973;30378;12510;11900
1972;28173;11882;11254
1971;26684;11222;10698
1970;24940;10289;9776
1969;23974;9813;9378
1968;23654;9095;8632
1967;19790;7509;7129
1966;16430;5980;5636
1965;8162;2989;2770
1964;527;247;228
1963;112;50;49
1962;9;3;3
1961;5;1;1
1960;4;1;1
1959;3;1;1
1958;3;;
1956;2;;
1955;2;;
1954;1;;
1952;2;;
1950;4;;
1949;2;;
1947;1;;
1944;3;;
1943;1;;
1942;4;;
1939;2;;
1938;4;;
1932;1;;
