Year;Count_Psych;Count_Neuro_In_Psych
2022;7600;3433
2021;70704;30190
2020;124963;47791
2019;160868;61443
2018;166281;63875
2017;166058;64665
2016;167922;63791
2015;178526;66608
2014;182418;69101
2013;186999;73645
2012;183039;73488
2011;175638;71828
2010;167495;68905
2009;156921;65113
2008;149620;61539
2007;140538;57467
2006;131074;53822
2005;120080;49519
2004;109389;44465
2003;100999;40532
2002;92376;36747
2001;88482;35553
2000;82804;34265
1999;77117;31237
1998;73332;29666
1997;70539;27905
1996;66081;26803
1995;63294;24684
1994;62418;24354
1993;60723;23454
1992;58664;22437
1991;56983;21890
1990;56218;21237
1989;53221;19717
1988;50563;18519
1987;46597;17484
1986;45918;18140
1985;44261;17548
1984;42083;16687
1983;40504;15913
1982;39078;15065
1981;36952;13931
1980;37006;13589
1979;37755;13869
1978;35316;12996
1977;32703;11948
1976;31590;12058
1975;31499;12016
1974;31051;12721
1973;30378;12510
1972;28173;11882
1971;26684;11222
1970;24940;10289
1969;23974;9813
1968;23654;9095
1967;19790;7509
1966;16430;5980
1965;8162;2989
1964;527;247
1963;112;50
1962;9;3
1961;5;1
1960;4;1
1959;3;1
1958;3;
1956;2;
1955;2;
1954;1;
1952;2;
1950;4;
1949;2;
1947;1;
1944;3;
1943;1;
1942;4;
1939;2;
1938;4;
1932;1;
